Company,City,Year,Deposit Ratio,Equity to Assets Ratio,LLP,Loan Ratio,NPL,ROAA,ROAE,Standard Deviation of ROAA,Total Assets EUR,Total Customer Deposits EUR,Z-Score,Unnamed: 14,Unnamed: 15,Unnamed: 16,GDP,INF,month,GPR,GPRT,GPRA,Ln_Total Assets EUR,Ln_Equity to Assets Ratio,Ln_Loan Ratio,Ln_LLP,Ln_Deposit Ratio
BANCA DI CREDITO COOPERATIVO DI AQUARA,AQUARA,2021,0.767335741,7.707078418,4.295817053,75.7873759,5.939995194,0.038609084,0.456081316,0.382830461,467.661,358.853,3.007299285,,,,6.936355121315789,2.564898000105263,2021-06-16 12:00:00,82.07023620605469,103.8860009511312,54.54721323649088,6.147743674468567,2.042139181650022,4.32793173392331,1.457641770871473,-0.264830840666999
BANCA DI CREDITO COOPERATIVO DI AQUARA,AQUARA,2022,0.853346542,7.229901399,4.258642725,73.00648313,6.246745665,0.078647267,1.054135401,0.432922726,498.679,425.546,2.826240742,,,,3.122957375,9.903684152631579,2022-06-16 12:00:00,157.5831934611003,199.2730185190836,124.7958981196086,6.211962602180788,1.9782253983183422,4.290548247205017,1.4489505003596692,-0.15858955139018557
BANCA DI CREDITO COOPERATIVO DI AQUARA,AQUARA,2023,0.860934209,6.854108541,4.429037803,74.56358564,4.634604958,0.508807859,7.23574165,0.212845295,555.55,478.292,3.543645794,,,,-0.5379984658333333,5.977745703,2023-06-16 12:00:00,121.7001794179281,133.942325592041,116.1908276875814,6.319958614030018,1.9248482594810972,4.311652259886253,1.4881823602399256,-0.14973718978524167
BANCA DI CREDITO COOPERATIVO DI ARBOREA (ORISTANO),ARBOREA,2017,0.59287461,14.00217888,6.90835039,52.18583035,14.06324299,1.045378107,7.472248652,0.106891638,345.132,204.62,4.949529458,,,,3.413880947789474,1.650400191421053,2017-06-16 12:00:00,107.377311706543,117.4666633605957,93.90502103169759,5.843926952550969,2.639212951791214,3.954811008805865,1.9327308813489947,-0.5227723525961194
BANCA DI CREDITO COOPERATIVO DI ARBOREA (ORISTANO),ARBOREA,2018,0.588733939,14.03794606,7.122935619,51.30138809,12.59728692,1.084117415,7.732245872,0.03736728,371.949,218.979,6.003114664,,,,2.726027871052632,1.703560482631579,2018-06-16 12:00:00,98.5529073079427,122.8477579752604,65.44431845347087,5.918756748100331,2.6417640958731514,3.9377178100952555,1.9633199464884314,-0.5297809138537595
BANCA DI CREDITO COOPERATIVO DI ARBOREA (ORISTANO),ARBOREA,2019,0.628421214,13.58417526,7.064248013,61.85684404,9.869967037,1.041944101,7.544192841,0.03236475,371.469,233.439,6.113494329,,,,2.222830119736842,1.440696388105263,2019-06-16 12:00:00,90.94625282287598,112.7704283396403,60.5952517191569,5.917465415184793,2.608905531429225,4.124822748173384,1.9550465721134234,-0.46454461441809786
BANCA DI CREDITO COOPERATIVO DI ARBOREA (ORISTANO),ARBOREA,2020,0.649736982,14.49654545,5.201971585,74.0057957,7.0579789,1.281861311,9.1196597,0.104584631,397.881,258.518,5.016401017,,,,-4.894555993157895,0.3124536947368421,2020-06-16 08:00:00,77.29380416870117,97.4657351175944,49.32102219263712,5.986152965601654,2.673910376214135,4.304143410407567,1.6490377046893574,-0.4311876410594788
BANCA DI CREDITO COOPERATIVO DI ARBOREA (ORISTANO),ARBOREA,2021,0.630093981,13.69535892,4.734745741,73.21954537,6.319279852,0.995066023,7.071249853,0.125613764,448.495,282.594,4.761739361,,,,6.936355121315789,2.564898000105263,2021-06-16 12:00:00,82.07023620605469,103.8860009511312,54.54721323649088,6.105897533164691,2.617057010476763,4.2934623985769385,1.554928027413793,-0.4618862945317439
BANCA DI CREDITO COOPERATIVO DI ARBOREA (ORISTANO),ARBOREA,2022,0.646391614,13.25842742,4.666147527,75.40685305,5.575913965,0.995032244,7.389367669,0.135204558,496.801,321.128,4.657966062,,,,3.122957375,9.903684152631579,2022-06-16 12:00:00,157.5831934611003,199.2730185190836,124.7958981196086,6.2081895434996905,2.584633381947909,4.322898160141026,1.5403337905447667,-0.4363497452504957
BANCA DI CREDITO COOPERATIVO DI ARBOREA (ORISTANO),ARBOREA,2023,0.665715452,15.5288519,3.844007378,79.22221718,4.110785494,2.215737501,15.40847983,0.575438015,484.994,322.868,3.42870441,,,,-0.5379984658333333,5.977745703,2023-06-16 12:00:00,121.7001794179281,133.942325592041,116.1908276875814,6.184136519726939,2.7426997065462757,4.372256779431511,1.3465154104610428,-0.4068929489879629
BANCA DI CREDITO COOPERATIVO DI BARI,BARI,2017,0.666950954,9.677519035,5.604863018,34.83696727,7.118695157,0.18855833,1.915552912,0.233017555,161.808,107.918,3.784928687,,,,3.413880947789474,1.650400191421053,2017-06-16 12:00:00,107.377311706543,117.4666633605957,93.90502103169759,5.086410447159815,2.2698055704013407,3.5506791008361036,1.7236346169748107,-0.40503876800402355
BANCA DI CREDITO COOPERATIVO DI BARI,BARI,2018,0.688094644,10.07179423,4.855742297,42.41041329,6.879551821,0.477657552,4.837695018,0.186192393,160.18,110.219,4.037048665,,,,2.726027871052632,1.703560482631579,2018-06-16 12:00:00,98.5529073079427,122.8477579752604,65.44431845347087,5.0762981828955365,2.3097388666286665,3.7473939285463023,1.5801619833621683,-0.37382888655635804
