Central African Republic,CAF,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,0.757392208,-5.182200264,2.138855273,1.352775362,-7.657345914,3.720591047,-1.338182594,2.684667344,2.665865061,-0.03993708,6.272393967,2.485984851,2.610234803,4.145158394,-36.77769716,0.158111559,3.891158828,2.938099239,2.590923501,1.792220305,0.833009811,-1.624775579,-1.12909381,-1.695404956,-1.996031538
Canada,CAN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,4.289836599,4.1639485,0.774519432,1.887964846,0.895018593,2.135815594,2.237576582,1.602901527,1.064144852,-0.093342784,-4.020088121,1.951447476,2.13607714,0.65884199,1.253590129,1.848409517,-0.112369173,-0.098296353,1.809464463,1.280926579,0.429657581,-6.06240643,4.705382052,1.955670659,-1.85450959
Central Europe and the Baltics,CEB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,2.072669188,4.544594996,3.834921872,4.29313354,4.414703793,6.131055975,5.306031354,6.866285692,6.830636433,4.308653431,-3.321105358,1.804460449,3.760050809,1.05733043,0.882800301,3.432710333,4.266388448,3.016183706,5.361316049,5.152762066,4.050499011,-3.211028073,7.23833277,5.60591686,0.46318564
Switzerland,CHE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,1.179005936,3.376157295,0.934949653,-0.826280428,-0.771333169,1.998132056,2.093586607,3.42255066,2.991822023,1.509950794,-3.51055886,2.173638164,0.68733987,0.110596604,0.628360675,1.108693594,0.494129822,0.960131673,0.421326163,2.10552472,0.423089768,-2.854158322,4.588192118,1.7360013,-0.127139868
Channel Islands,CHI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,1.646868029,0.819136776,1.061069536,-9.378572414,14.40551514,6.940651551,
Chile,CHL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,-1.454255616,3.772356977,2.009936512,2.086110709,3.631566467,5.616340075,4.807518063,5.015991124,4.142002321,2.75580096,-2.128300571,4.788942687,5.176036998,5.12573838,2.316400118,0.77292782,1.105758381,0.550297851,-0.213266442,2.139078181,-1.152337224,-7.41187883,10.23239926,1.483212366,0.086767873
China,CHN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,6.733485658,7.638597676,7.551654832,8.404879975,9.354776644,9.46155877,10.74137513,12.09330469,13.6358205,9.090280101,8.855947676,10.10283262,8.953816042,7.134523777,7.050734134,6.750760316,6.420736477,6.238215448,6.301863101,6.251700556,5.575316863,1.995558042,8.351719954,3.002576026,5.309248534
Cote d'Ivoire,CIV,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,-1.846652084,-2.959710898,-4.683346316,-5.142085307,-7.00066133,0.801103621,-1.268265052,0.568624257,-1.059815634,2.573868005,1.432261368,4.610518087,-7.314005485,5.430923067,8.499803033,6.868861326,4.463889962,4.442361059,4.668461261,2.186608496,4.053850735,-1.795020434,4.466609084,3.64433169,3.906974803
Cameroon,CMR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,1.77836308,1.131126751,1.619678854,1.714569112,2.61413205,4.150729438,-0.527954204,1.024993589,1.466544495,-0.029081451,-0.299622049,0.006582789,0.493346679,1.721841653,2.082609839,2.558902686,2.392797413,1.454232674,0.648212634,1.121795214,0.643223204,-2.422434418,0.650616045,0.926268102,1.333386551
"Congo, Dem. Rep.",COD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,-6.969532095,-9.570694324,-5.012042163,-0.151731065,2.514865995,3.60340242,2.879528265,2.017148351,2.897014253,2.880741558,-0.3784622,3.686160116,3.35182131,3.552018767,4.845979483,5.762181554,3.353084347,-1.088996024,0.216643095,2.413839975,1.110966274,-1.492689427,2.832379325,5.496328335,5.10794904
"Congo, Rep.",COG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,-5.14928872,3.547205816,-0.027544188,2.162661737,-1.938996116,0.019857938,3.94682346,4.007991907,-9.989537905,2.842036482,7.241581921,5.45626725,-1.056578869,6.936986163,-3.07344321,4.127141781,-1.954714357,-10.84078143,-7.825309864,-4.615554763,-1.229416403,-8.428402521,-1.298034062,-0.812657163,-0.370027888
Colombia,COL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,-5.794495364,1.271082627,0.088483853,0.942693274,2.390448042,3.839378166,3.406895648,5.339723444,5.422847619,2.084242363,0.001662279,3.323734506,5.784699766,2.837889026,4.098265909,3.513953479,1.990616494,1.002272725,-0.161953875,0.638439616,1.314952378,-8.540395377,9.54105156,6.549560116,0.204317448
Comoros,COM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,-0.105394136,8.717689838,0.28098417,0.255555657,0.119030969,-0.013669964,0.837129283,0.61407525,-1.200112163,1.888357948,1.14810444,1.637270424,1.960299485,0.985839766,2.249640757,-0.067894786,-1.014068958,1.102932073,1.712361833,1.686721598,-0.126909212,-2.074861396,0.190939004,0.534046631,0.856855181
Cabo Verde,CPV,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,8.894187766,12.1340984,0.540730982,3.633309626,2.688116947,8.726368171,5.557902733,6.672709051,13.8360549,5.863825574,-2.516366975,0.747349442,2.681808363,-0.117356983,-0.500286991,-0.434814396,-0.177226393,3.117628741,3.33731044,2.572582873,5.867653835,-21.56780922,6.071379818,16.40476639,4.177349899
Costa Rica,CRI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,2.077614594,1.838873566,1.600982801,1.675937517,2.673776027,2.848457986,2.456798969,5.799838282,6.707755266,3.298011333,-2.203057167,4.012638871,3.116526116,3.627812474,1.319512789,2.414564007,2.573178611,3.15151339,3.143265986,1.661308308,1.535290566,-4.994101583,7.289650117,4.009202565,4.479819237
Caribbean small states,CSS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,2.878540645,2.65024699,0.344825579,1.212033908,0.927898777,1.958620365,2.480313159,3.663956873,2.524327541,-0.211062931,-3.316439648,0.2998717,1.08311392,1.599649924,-0.721550157,0.941171595,-0.120503122,-0.309021459,1.15235671,1.49639391,-0.030191113,-9.655683221,9.655589954,21.75674926,11.97997578
Cuba,CUB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,5.840205908,5.574321486,2.876228671,1.144029242,3.52243391,5.524827061,10.99578825,11.92139965,7.174032658,4.054763877,1.392178173,2.324766851,2.726846251,2.9185284,2.636075249,0.954420824,4.365870759,0.494073392,1.860147022,2.321609164,-0.061218557,-10.82301048,1.652416141,2.17589201,
Curacao,CUW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,3.007946013,0.274293371,-1.758681697,-1.505340183,-1.858439975,-0.940961791,0.466173824,0.910342295,-1.176896518,-1.176268627,-0.909566648,-1.17256195,-1.755807825,-1.967466527,-0.858779915,-2.111162107,-1.59116273,-1.588630519,-2.041096644,-16.71921893,5.963006911,9.607023521,
Cayman Islands,CYM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,0.108079057,-3.234237153,-9.809708401,-5.36390739,-1.416133926,-1.205742325,-1.072927618,0.332870949,0.550605615,1.011164289,1.032114391,2.173371227,1.951524945,-6.616767355,3.634726318,4.283930012,
